"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"6274","naLatMin",-125.845888291329,-1,1,1,571,0.173730603193836
"6378","phenoRange",-113.642517591267,-1,1,1,580,0.111584935265849
"6390","polyC1",-121.435304989692,-1,1,1,581,0.100068871455971
"6407","naLongMax",-158.196229761049,-1,1,1,583,0.216976261093526
"6418","naLongMax",-107.518334732045,-1,1,1,584,0.103703006216673
"6429","naLongMax",-111.555004163894,-1,1,1,585,0.0697824295990338
"6445","polyC1",-191.501566212897,-1,1,1,586,0.0947667921537289
"6456","polyC1",-85.3964490157745,-1,1,1,587,0.111817534936339
"6478","polyC1",-123.791702212726,-1,1,1,589,0.11453991924533
"6489","polyC1",-111.901105757688,-1,1,1,590,0.0958711370896467
"6500","polyC1",-136.360229144126,-1,1,1,591,0.0610141330565323
"6517","naLongMax",-148.420602045167,-1,1,1,593,0.137550445269481
"6533","polyC1",-62.1710945061656,-1,1,1,594,0.149925287567293
"6539","naLongMax",-185.299991453882,-1,1,1,595,0.144413527292643
"6566","polyC1",-76.750279644166,-1,1,1,597,0.0836783011454232
"6583","naLongMax",-98.605264423284,-1,1,1,599,0.0922295741018251
"6605","naLongMax",-136.951779722563,-1,1,1,601,0.0736657882091227
"6621","polyC1",-97.653178588148,-1,1,1,602,0.103057225847419
"6660","naLongMax",-80.7940300559074,-1,1,1,606,0.11574695808562
"6720","polyC1",-141.614549749753,-1,1,1,611,0.0971982396284049
"6730","phenoRange",-70.2685031312492,-1,1,1,612,0.0766549267000763
"6752","phenoRange",-110.305612710836,-1,1,1,614,0.101956238444817
"6797","polyC1",-104.417252742256,-1,1,1,618,0.0864225473980821
"6808","polyC1",-127.569934822722,-1,1,1,619,0.157295311233996
"6847","naLongMax",-175.001231127162,-1,1,1,623,0.119866456537597
"6857","naLatMin",-118.453333051122,-1,1,1,624,0.165009424608659
"6885","polyC1",-99.698940509634,-1,1,1,626,0.0411805532997036
"6896","polyC1",-86.6022442823225,-1,1,1,627,0.145817497105763
"6918","polyC1",-98.0582886615854,-1,1,1,629,0.109173893329954
"6929","polyC1",-98.5650742428639,-1,1,1,630,0.0748785041630745
"6935","naLongMax",-85.0744080445892,-1,1,1,631,0.0799313402576942
"6951","polyC1",-85.9807206124315,-1,1,1,632,0.0670208648279449
"6968","naLongMax",-73.7575483450036,-1,1,1,634,0.098396643235657
"6990","naLongMax",-122.979829357883,-1,1,1,636,0.166151112584222
"7028","polyC1",-87.4804035032525,-1,1,1,639,0.0924891084095472
"7061","polyC1",-91.6080731498052,-1,1,1,642,0.0563285328153329
"7071","phenoRange",-121.22856830425,-1,1,1,643,0.0890200739272957
"7094","polyC1",-99.1384682424112,-1,1,1,645,0.0758682260929944
"7100","naLongMax",-144.999087262752,-1,1,1,646,0.176463323174696
"7121","naLatMin",-121.321672737181,-1,1,1,648,0.13528425549102
"7149","polyC1",-69.4727041759043,-1,1,1,650,0.084084489021995
"7160","polyC1",-106.966131551881,-1,1,1,651,0.106393893501173
"7166","naLongMax",-155.173588227717,-1,1,1,652,0.113768918739561
"7188","naLongMax",-111.302246839596,-1,1,1,654,0.139246252692623
"7226","polyC1",-164.390821463367,-1,1,1,657,0.154095779140065
"7231","naLatMin",-53.3717397612382,-1,1,1,658,0.136111684245337
"7259","polyC1",-129.643828063015,-1,1,1,660,0.0785095337427803
"7303","polyC1",-155.201472056071,-1,1,1,664,0.100375026768451
"7369","polyC1",-174.536145388098,-1,1,1,670,0.087835511901742
"7380","polyC1",-156.081594500205,-1,1,1,671,0.111134254235249
"7391","polyC1",-118.748034372435,-1,1,1,672,0.0812469039364646
"7397","naLongMax",-108.867573824872,-1,1,1,673,0.075963139475468
"7435","polyC1",-125.514046761003,-1,1,1,676,0.0829010875000966
"7439","naLatMax",-61.307339731127,-1,1,1,677,0.132019166928046
"7457","polyC1",-140.634608416727,-1,1,1,678,0.0620844251207232
"7465","oliG1",-100.4446589651,-1,1,1,679,0.132143591773712
"7479","polyC1",-167.155734476467,-1,1,1,680,0.0954252977173268
"7485","naLongMax",-62.9494740863225,-1,1,1,681,0.134626114181837
"7512","polyC1",-183.08670423196,-1,1,1,683,0.151596018271279
"7534","polyC1",-125.527456023778,-1,1,1,685,0.0723746657706763
"7550","naLatMin",-81.6321058915872,-1,1,1,687,0.0854439285480797
"7578","polyC1",-104.988074621377,-1,1,1,689,0.0965347923722892
"7589","polyC1",-88.9466474105113,-1,1,1,690,0.089907624735418
"7595","naLongMax",-83.0813190647813,-1,1,1,691,0.153878999984793
"7622","polyC1",-124.733538879171,-1,1,1,693,0.101394974138309
"7633","polyC1",-51.3668051951233,-1,1,1,694,0.179998004901321
"7727","naLongMax",-100.375899418122,-1,1,1,703,0.131309906577806
"7743","polyC1",-142.1231689528,-1,1,1,704,0.0972064639527007
"7754","polyC1",-93.9501820272561,-1,1,1,705,0.0935113534101389
"7809","polyC1",-77.001831590078,-1,1,1,710,0.0747725450419428
"7815","naLongMax",-89.2385321282958,-1,1,1,711,0.177482935467826
"7831","polyC1",-145.569542455345,-1,1,1,712,0.13179438456948
"7875","polyC1",-146.229153440461,-1,1,1,716,0.091347846635433
"7892","naLongMax",-59.9561604219907,-1,1,1,718,0.0566538639412533
"7908","polyC1",-110.38588718916,-1,1,1,719,0.101797843457607
"7952","polyC1",-142.22305971265,-1,1,1,723,0.141028737879366
"7963","polyC1",-77.0663312837479,-1,1,1,724,0.104948371923671
"7985","polyC1",-145.679521320912,-1,1,1,726,0.138925374191675
"7990","naLatMin",-126.15809673099,-1,1,1,727,0.12350108412934
"8073","polyC1",-119.27341562115,-1,1,1,734,0.186577475334383
"8101","naLongMax",-101.610235318779,-1,1,1,737,0.158298844003096
"8116","phenoRange",-225.115952068222,-1,1,1,738,0.201735298799877
"8139","polyC1",-118.792291166983,-1,1,1,740,0.131546709478027
"8162","polyG1",-122.097507001345,-1,1,1,742,0.16072277535894
