"","x_names","importance","RSimportance","order","rel_imp"
"3976","phenoRange",-119.402387755455,-1,1,0.192621090522869
"3977","ITD",-70.6981371199708,-1,1,0.2553223074164
"3997","phenoRange",-79.6012043384731,-1,1,0.146962915638317
"4004","phenoRange",-87.6725788576154,-1,1,0.151457162751596
"4007","naLatMin",-99.9815956029638,-1,1,0.21993291965961
"4020","naLatMax",-97.665817307504,-1,1,0.258792824817704
"4041","naLatMax",-60.7903016442033,-1,1,0.141113101802508
"4060","phenoRange",-87.5230832235196,-1,1,0.1508757335539
"4067","phenoRange",-54.1080207681154,-1,1,0.082664914685395
"4074","phenoRange",-92.5216503907007,-1,1,0.134019340167455
"4090","naLatMax",-62.8642934552626,-1,1,0.131322278342019
"4097","naLatMax",-99.129428140582,-1,1,0.155293651941354
"4109","phenoRange",-150.482450750053,-1,1,0.200614595980832
"4111","naLatMax",-90.4130073371555,-1,1,0.235670438264419
"4123","phenoRange",-86.4888915834862,-1,1,0.17376388531663
"4130","phenoRange",-116.80494851001,-1,1,0.203715345953313
"4165","phenoRange",-141.800044969223,-1,1,0.218019820885701
"4172","phenoRange",-101.809010196932,-1,1,0.197570104761312
"4179","phenoRange",-51.185896479874,-1,1,0.114133579084406
"4200","phenoRange",-106.611474897984,-1,1,0.196613265010759
"4205","naLongMin",-120.40200123501,-1,1,0.193981662654422
"4214","phenoRange",-106.979085627489,-1,1,0.174277320260092
"4219","naLongMin",-95.1064183640295,-1,1,0.121027751760216
"4233","naLongMin",-52.9158879485916,-1,1,0.0836723585204991
"4256","phenoRange",-135.64771122321,-1,1,0.225618994681567
"4263","phenoRange",-79.5346973017569,-1,1,0.15019273834889
"4266","naLatMin",-56.8236490380936,-1,1,0.14109438434794
"4274","naLongMax",-102.084636856574,-1,1,0.151839644872064
"4281","naLongMax",-52.2914953625824,-1,1,0.162393155229211
"4285","ITD",-68.2775631837635,-1,1,0.253551660695152
"4298","phenoRange",-133.633863036018,-1,1,0.222104141961717
"4300","naLatMax",-85.70592371049,-1,1,0.151991147679696
"4313","ITD",-68.2851442047407,-1,1,0.253555109193662
